adc_dac,unsat,,msat,ind,ra,0.0234308,tests/maurice2024/adc_dac_ind_msat.log
adc_dac_fp,unsat,,bzla,ind,fp,0.10275,tests/maurice2024/adc_dac_fp_ind_bzla.log
dac_adc,unsat,,msat,ind,ra,0.0222583,tests/maurice2024/dac_adc_ind_msat.log
dac_adc_fp,unsat,,msat,ind,fp,0.0265378,tests/maurice2024/dac_adc_fp_ind_msat.log
maurice2024_adc,unsat,,msat,ind,ra,0.0207151,tests/maurice2024/maurice2024_adc_ind_msat.log
maurice2024_adc_fp,unsat,,bzla,bmc-sp,fp,0.0489273,tests/maurice2024/maurice2024_adc_fp_bmc-sp_bzla.log
maurice2024_dac,unsat,,msat,ind,ra,0.0126426,tests/maurice2024/maurice2024_dac_ind_msat.log
maurice2024_dac_fp,unsat,,bzla,ind,fp,0.0132177,tests/maurice2024/maurice2024_dac_fp_ind_bzla.log
rnm,unsat,,msat,ind,ra,0.00875507,tests/rnm_example/rnm_ind_msat.log
rnm_fp,unsat,,bzla,ind,fp,0.0820755,tests/rnm_example/rnm_fp_ind_bzla.log
